"year","resource","variable","units","magnitude","data_value","flag"
"2007","Biogas","Closing stock","Dollars","Thousands","64848","R"
"2007","Biogas","Opening stock","Dollars","Thousands","0","F"
"2007","Biogas","Other changes","Dollars","Thousands","0","F"
"2007","Biogas","Resource rent","Dollars","Thousands","5188","R"
"2007","Geothermal","Closing stock","Dollars","Thousands","929297","R"
"2007","Geothermal","Opening stock","Dollars","Thousands","0","F"
"2007","Geothermal","Other changes","Dollars","Thousands","0","F"
"2007","Geothermal","Resource rent","Dollars","Thousands","74344","R"
"2007","Hydro","Closing stock","Dollars","Thousands","7019488","R"
"2007","Hydro","Opening stock","Dollars","Thousands","0","F"
"2007","Hydro","Other changes","Dollars","Thousands","0","F"
"2007","Hydro","Resource rent","Dollars","Thousands","561559","R"
"2007","Renewable","Closing stock","Dollars","Thousands","8326498","R"
"2007","Renewable","Opening stock","Dollars","Thousands","0","F"
"2007","Renewable","Other changes","Dollars","Thousands","0","F"
"2007","Renewable","Resource rent","Dollars","Thousands","666120","R"
"2007","Solar","Closing stock","Dollars","Thousands","244","R"
"2007","Solar","Opening stock","Dollars","Thousands","0","F"
"2007","Solar","Other changes","Dollars","Thousands","0","F"
"2007","Solar","Resource rent","Dollars","Thousands","20","F"
"2007","Wind","Closing stock","Dollars","Thousands","174783","R"
"2007","Wind","Opening stock","Dollars","Thousands","0","F"
"2007","Wind","Other changes","Dollars","Thousands","0","F"
"2007","Wind","Resource rent","Dollars","Thousands","13983","R"
"2008","Biogas","Closing stock","Dollars","Thousands","62787","R"
"2008","Biogas","Opening stock","Dollars","Thousands","64848","R"
"2008","Biogas","Other changes","Dollars","Thousands","-2062","R"
"2008","Biogas","Resource rent","Dollars","Thousands","5023","R"
"2008","Geothermal","Closing stock","Dollars","Thousands","1046042","R"
"2008","Geothermal","Opening stock","Dollars","Thousands","929297","R"
"2008","Geothermal","Other changes","Dollars","Thousands","116745","R"
"2008","Geothermal","Resource rent","Dollars","Thousands","83683","R"
"2008","Hydro","Closing stock","Dollars","Thousands","6923293","R"
"2008","Hydro","Opening stock","Dollars","Thousands","7019488","R"
"2008","Hydro","Other changes","Dollars","Thousands","-96194","R"
"2008","Hydro","Resource rent","Dollars","Thousands","553863","R"
"2008","Renewable","Closing stock","Dollars","Thousands","8496923","R"
"2008","Renewable","Opening stock","Dollars","Thousands","8326498","R"
"2008","Renewable","Other changes","Dollars","Thousands","170424","R"
"2008","Renewable","Resource rent","Dollars","Thousands","679754","R"
"2008","Solar","Closing stock","Dollars","Thousands","1036","R"
"2008","Solar","Opening stock","Dollars","Thousands","244","R"
"2008","Solar","Other changes","Dollars","Thousands","792","R"
"2008","Solar","Resource rent","Dollars","Thousands","83","F"
"2008","Wind","Closing stock","Dollars","Thousands","316019","R"
"2008","Wind","Opening stock","Dollars","Thousands","174783","R"
